Titre de l’action d’adaptation,Exemple,Aléa climatique visé,Catégorie ressources,Catégorie entreprise,Prix,Prix crédit,Temps,Score
Utiliser des matériaux résistants à l’eau,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: submersion marine; Submersion marine,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Améliorer la ventilation et le rafraîchissement passif,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Chaleur extrême; Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
Optimiser lumière naturelle par vitrages et puits de jour,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Vague de chaleur; Chaleur extrême; Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Rafraîchir les espaces intérieurs par le sol,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
Limiter les variations du taux d’humidité du sol,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",RGA; Stress Hydrique,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Choisir des équipements à faible émission de chaleur,"Actualisation annuelle d’une cartographie des sites exposés, en intégrant les dernières projections climatiques et les incidents déjà observés. Les bâtiments, fournisseurs et équipements les plus vulnérables sont priorisés avant les prochaines fortes chaleurs ou inondations.",Vague de chaleur; Chaleur extrême; Modif T° air,Technique,CAPEX majoritaire > court terme,250 000 €,10,Court terme,0
Communiquer sur les risques aux occupants,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air; RGA; Stress Hydrique; Tempêtes; Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: feu; Fortes pluies,Organisationnelles,Capital humain,15 000 €,1,Moyen terme,0
Concentrer les équipements et activités essentiels aux étages supérieurs,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: submersion marine; Submersion marine,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,0
Définir une stratégie face au risque d’inondation,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les tous aléas climatiques menacent la continuité des activités.",Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: submersion marine,Organisationnelles,OPEX majoritaire – main d’œuvre,30 000 €,1,Moyen terme,4
Ancrer au sol les hébergements,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Tempêtes; Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: submersion marine; Submersion marine,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,0
Protéger les réseaux,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Vague de chaleur; Chaleur extrême; Modif T° air; RGA; Stress Hydrique; Tempêtes; Inondation fluviale; Inondation pluie; Inondation nappe; Non listé: feu; Non listé: submersion marine; Fortes pluies,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Se raccorder au réseau de froid urbain,"Plantation d’arbres d’ombrage, création de massifs végétalisés et choix d’essences capables de supporter le climat futur local. Les cheminements et façades exposés restent plus frais, ce qui réduit l’inconfort pendant les fortes chaleurs.",Vague de chaleur; Chaleur extrême; Modif T° air,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
"Combiner transports collectifs, modes actifs et transport à la demande","Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Modif T° air; Chaleur extrême,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,4
Élaborer un plan d’actions opérationnel modes actifs,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Modif T° air; Chaleur extrême,Organisationnelles,Capital humain,30 000 €,1,Moyen terme,3
Former les élus et techniciens aux enjeux de mobilité,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Modif T° air; Chaleur extrême; Stress Hydrique,Ressources humaines,Capital humain,30 000 €,1,Court terme,7
Choisir des solutions de prévention des risques adaptées localement,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Fortes pluies; Inondation fluviale; Inondation pluie; RGA; Tempêtes,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Diagnostiquer les routes inondables,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Fortes pluies; Inondation fluviale; Inondation pluie,Technique,OPEX majoritaire - main d’œuvre,250 000 €,10,Long terme,1
Cartographier les points vulnérables du réseau routier,"Adaptation des horaires pendant les canicules, bascule de certains cours ou réunions à distance et accès prioritaire aux espaces rafraîchis. Les salariés, prestataires et usagers restent protégés sans interrompre totalement les activités.",Fortes pluies; Inondation fluviale; Inondation pluie,Technique,OPEX majoritaire - main d’œuvre,250 000 €,10,Long terme,4
Hiérarchiser les bâtiments publics par niveaux de risque,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Vague de chaleur; Chaleur extrême; Fortes pluies; Tempêtes; RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Intégrer l’adaptation aux constructions neuves et rénovations lourdes,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Vague de chaleur; Chaleur extrême; Fortes pluies; Tempêtes; RGA,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,4
Mener des actions d’opportunisme lors de travaux ponctuels,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême; Fortes pluies; Tempêtes; RGA,Organisationnelles,OPEX majoritaire - main d’œuvre,30 000 €,1,Court terme,7
Programmer des interventions reproductibles à grande échelle,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Vague de chaleur; Chaleur extrême,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,0
Engager une Stratégie d’Optimisation Foncière Territoriale,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Modif T° air; Stress Hydrique; Fortes pluies; Chaleur extrême,Organisationnelles,Capital humain,30 000 €,1,Long terme,6
Mettre en place un observatoire foncier,"Scénario de crise testé avant l’été : bascule en télétravail, salles fraîches ouvertes, contact fournisseurs critiques et procédure de fermeture temporaire. Les équipes savent quoi faire lorsque chaleur, inondation ou tempête perturbent le fonctionnement normal.",Modif T° air; Stress Hydrique,Technique,OPEX majoritaire - main d’œuvre,50 000 €,2,Moyen terme,7
Intégrer les données foncières dans le PLUi et les outils de suivi,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Modif T° air; Stress Hydrique; Fortes pluies,Organisationnelles,CAPEX majoritaire > court terme,50 000 €,2,Court terme,7
"Inventorier les friches par photo-interprétation, terrain et échanges élus","Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Modif T° air; Stress Hydrique,Ressources humaines,OPEX majoritaire - main d’œuvre,15 000 €,1,Moyen terme,0
Étudier plusieurs destinations possibles pour les friches,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Modif T° air; Stress Hydrique; Fortes pluies; Chaleur extrême,Organisationnelles,Capital humain,15 000 €,1,Moyen terme,1
Réaliser une cartographie des enjeux de renaturation,"Transformation d’un parking bitumé en revêtement perméable, avec noues végétalisées et fosses de plantation. L’eau s’infiltre directement sur site, les réseaux débordent moins lors des pluies intenses et le sol restitue moins de chaleur en été.",Vague de chaleur; Chaleur extrême; Fortes pluies; Inondation pluie; Stress Hydrique,Technique,OPEX majoritaire - main d’œuvre,250 000 €,10,Long terme,6
Identifier les sites prioritaires de renaturation avec les habitants,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Vague de chaleur; Chaleur extrême; Fortes pluies; Stress Hydrique; Inondation pluie; Tempêtes,Ressources humaines,Capital humain,25 000 €,1,Long terme,6
Délimiter les périmètres PENAP de protection agricole et naturelle,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Vague de chaleur; Chaleur extrême; Stress Hydrique; Fortes pluies; Modif T° air,Organisationnelles,Capital humain,50 000 €,2,Long terme,6
Adapter les ouvrages aux mouvements de terrain,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes pluies et inondations menacent la continuité des activités.",Tous aléas climatiques,Organisationnelles,OPEX main d’œuvre,250 000 €,10,Moyen terme,4
Évaluer l’exposition aux aléas climatiques,"Scénario de crise testé avant l’été : bascule en télétravail, salles fraîches ouvertes, contact fournisseurs critiques et procédure de fermeture temporaire. Les équipes savent quoi faire lorsque chaleur, inondation ou tempête perturbent le fonctionnement normal.",Tous aléas climatiques,Organisationnelles,OPEX main d’œuvre,15 000 €,1,Moyen terme,4
Désigner un pilote Adaptation,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes pluies et inondations menacent la continuité des activités.",Tous aléas climatiques; Fortes pluies; Inondation pluie; RGA; Chaleur extrême; Tempêtes,Ressources humaines,OPEX main d’œuvre,15 000 €,1,Moyen terme,4
Développer des services touristiques sur de nouvelles saisonnalités,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Vague de chaleur; Enneigement; Stress Hydrique; Chaleur extrême,Ressources humaines,Capital humain,25 000 €,1,Long terme,0
Diversifier l’économie touristique par des modèles hybrides,"Installation d’un secours énergétique pour les équipements critiques, avec batteries, alimentation prioritaire et test semestriel. Les serveurs, laboratoires sensibles ou dispositifs de sécurité restent alimentés lors d’une coupure liée à une tempête ou une canicule.",Tous aléas climatiques,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Réguler les flux touristiques selon la capacité de charge et l’eau disponible,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Vague de chaleur; Stress Hydrique; Biodiversité,Organisationnelles,OPEX main d’œuvre,50 000 €,2,Moyen terme,7
Aménager des zones d’expansion des crues,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux tempêtes.",Fortes pluies; Inondation fluviale; Inondation pluie,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Concevoir des véloroutes ombragées,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Vague de chaleur; Chaleur extrême,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Concevoir des circuits touristiques fraîcheur,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Vague de chaleur; Chaleur extrême,Fondées sur la nature,CAPEX majoritaire > court terme,250 000 €,10,Court terme,6
Mettre en place un plan Canicule intégrant les flux touristiques,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Vague de chaleur; Chaleur extrême; Feux de forêt; Stress Hydrique,Technique,OPEX main d’œuvre,250 000 €,10,Long terme,0
Restreindre la circulation automobile en milieu urbain dense,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Vague de chaleur; Chaleur extrême,Organisationnelles,OPEX main d’œuvre,250 000 €,10,Long terme,0
Renforcer l’isolation estivale et l’aération du bâti touristique,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux tempêtes.",Vague de chaleur; Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Informer sur le maintien de la fraîcheur en chambres non climatisées,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les tempêtes menacent la continuité des activités.",Vague de chaleur; Chaleur extrême,Ressources humaines,Capital humain,25 000 €,1,Long terme,0
Adapter les plages horaires des services,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Vague de chaleur; Chaleur extrême,Organisationnelles,OPEX main d’œuvre,15 000 €,1,Moyen terme,0
Adapter les menus en période chaude,"Inscription d’un point adaptation climatique à chaque comité stratégique, avec arbitrage budgétaire et suivi des obligations réglementaires. Les décisions d’investissement tiennent compte des conditions climatiques futures plutôt que du climat passé.",Vague de chaleur; Chaleur extrême,Organisationnelles,OPEX main d’œuvre,250 000 €,10,Long terme,0
Former aux bons usages des bâtiments en période chaude,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes pluies et inondations.",Vague de chaleur; Chaleur extrême,Ressources humaines,Capital humain,25 000 €,1,Long terme,7
Mettre en place une gestion technique de la chaleur,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les sécheresse menacent la continuité des activités.",Vague de chaleur; Chaleur extrême,Technique,CAPEX majoritaire > court terme,250 000 €,10,Court terme,0
Développer les usages rafraîchissants de l’eau,"Rénovation d’un bâtiment prioritaire avec isolation renforcée, protections solaires, ventilation nocturne et vérification des seuils d’inondation au rez-de-chaussée. Les occupants restent protégés et les activités essentielles peuvent continuer pendant les épisodes climatiques extrêmes.",Vague de chaleur; Stress Hydrique; Chaleur extrême,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Protéger les personnes face aux fortes chaleurs,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Vague de chaleur; Chaleur extrême; Vague de gel,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Utiliser des mobile-homes surélevés ou flottants,"Création de noues, bassins d’infiltration et cuves de récupération au pied des bâtiments. Les pluies intenses sont absorbées progressivement, les abords restent praticables et une réserve d’eau peut servir à l’arrosage en période sèche.",Vague de chaleur; Chaleur extrême; Submersion marine; Inondation fluviale,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Mettre à jour les procédures de gestion de crise inondation,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Fortes pluies; Inondation fluviale; Inondation pluie; Feux de forêt; Vague de chaleur,Organisationnelles,OPEX main d’œuvre,15 000 €,1,Moyen terme,1
Améliorer la culture du risque inondation,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Fortes pluies; Inondation fluviale; Inondation pluie; Submersion marine; Tempêtes; Feux de forêt; Vague de chaleur,Ressources humaines,Capital humain,15 000 €,1,Long terme,0
Créer des noues plantées pour stocker et traiter les eaux,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Désimperméabiliser les pieds d’arbres et sols touristiques,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Fortes pluies; Inondation pluie,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Désimperméabiliser les parkings touristiques,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Fortes pluies; Inondation pluie,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Gérer et aménager les berges,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux sécheresse.",Inondation fluviale; Fortes pluies; Stress Hydrique; Biodiversité,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Valoriser les prairies inondables de fauche,"Aménagement d’un espace pilote avec végétation locale, sol perméable et suivi de l’eau disponible. Le site gagne en fraîcheur, absorbe mieux les pluies et devient plus résistant face aux fortes chaleurs.",Inondation fluviale; Fortes pluies,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Adapter les ouvrages aux mouvements de terrain,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des érosion de la biodiversité.",Inondation fluviale; Inondation pluie; RGA; Mouvements de terrain; Modif T° air,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Réguler l’utilisation des espaces selon le risque inondation,"Conservation d’une zone refuge non tondue, plantation de haies locales et liaison entre deux espaces verts par un corridor écologique. Les espèces trouvent des abris et peuvent se déplacer malgré la chaleur, la sécheresse ou les travaux sur le site.",Inondation fluviale; Inondation pluie,Organisationnelles,OPEX main d’œuvre,50 000 €,2,Moyen terme,7
Mettre en réseau opérateurs et collectivités sur la crise inondation,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Inondation fluviale; Inondation pluie,Organisationnelles,OPEX main d’œuvre,250 000 €,10,Long terme,0
Mettre en place des procédures d’évacuation inondation,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Inondation fluviale; Inondation pluie,Organisationnelles,OPEX main d’œuvre,15 000 €,1,Moyen terme,0
Identifier les voies hors d’eau pour les clients,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les érosion de la biodiversité menacent la continuité des activités.",Inondation fluviale; Inondation pluie; Submersion marine; Fortes pluies,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,5
Former le personnel aux premiers secours,"Réservation d’un budget annuel pour les diagnostics, travaux prioritaires et réparations préventives. Les investissements sont déclenchés avant les dégâts majeurs liés aux retrait-gonflement des argiles, ce qui réduit les interruptions et les surcoûts.",Inondation fluviale; Fortes pluies; Tempêtes; Vents violents; Ouragans,Ressources humaines,Capital humain,50 000 €,2,Court terme,0
Améliorer la ventilation et le rafraîchissement passif,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Submersion marine; Tempêtes; Fortes pluies,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Ré-ensabler les plages avec analyse biodiversité,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes pluies et inondations perturbent le site.",Submersion marine; Tempêtes,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,6
Adapter les territoires littoraux aux risques côtiers,"Formation courte des équipes exposées, avec consignes opérationnelles et exercice pratique sur site. Les personnes savent adapter leurs horaires, leurs déplacements et leurs gestes lors des fortes chaleurs.",Submersion marine; Tempêtes,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,2
Adapter les territoires littoraux aux risques côtiers,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Submersion marine; Tempêtes; Biodiversité,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Élaborer des scénarios de submersion marine,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Submersion marine; Tempêtes; Inondation pluie,Technique,OPEX main d’œuvre,50 000 €,2,Long terme,4
Améliorer la ventilation et le rafraîchissement passif,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Submersion marine; Tempêtes; Biodiversité; Enneigement; Vague de chaleur; Stress Hydrique; Modif T° air,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Améliorer les dispositifs d’alerte météo littorale,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Submersion marine; Tempêtes; Vents violents; Fortes pluies,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,0
Installer une plateforme ou zone refuge,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Submersion marine; Inondation fluviale,Technique,CAPEX majoritaire > court terme,50 000 €,2,Court terme,7
"Aménager sur pilotis, longrines ou blocs de béton","Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Submersion marine; Inondation fluviale,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Restaurer la végétation littorale publique contre l’érosion,"Session annuelle pour les équipes, agents d’accueil et responsables de site, avec consignes canicule, conduite à tenir en cas d’inondation et exercices pratiques. Les personnes concernées reconnaissent les signaux d’alerte et réagissent plus vite.",Submersion marine; Tempêtes; Biodiversité,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Négocier le foncier avec l’appui de la SAFER,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Submersion marine; Tempêtes,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,0
Adapter les réglementations et activités touristiques à la ressource en eau,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Stress Hydrique; Vague de chaleur; Biodiversité,Fondées sur la nature,OPEX main d’œuvre,250 000 €,10,Moyen terme,6
Participer aux instances de gouvernance de l’eau,"Session annuelle pour les équipes, agents d’accueil et responsables de site, avec consignes canicule, conduite à tenir en cas d’inondation et exercices pratiques. Les personnes concernées reconnaissent les signaux d’alerte et réagissent plus vite.",Stress Hydrique,Organisationnelles,OPEX main d’œuvre,50 000 €,2,Moyen terme,7
Établir des zones sans plaisance sur milieux aquatiques,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les sécheresse perturbent le site.",Stress Hydrique; Biodiversité; Inondation fluviale,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Diversifier l’économie lacustre,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les retrait glaciaire perturbent le site.",Stress Hydrique,Organisationnelles,CAPEX majoritaire > long terme,250 000 €,10,Long terme,7
Adapter les infrastructures nautiques à la baisse du niveau d’eau,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les enneigement menacent la continuité des activités.",Stress Hydrique; Tempêtes; Submersion marine,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,4
Gérer et récupérer les eaux pluviales à l’échelle territoriale,"Équipement d’un bâtiment prioritaire avec protections physiques, capteurs de suivi et procédure de maintenance renforcée. Les usages essentiels sont mieux protégés lorsque les fortes chaleurs perturbent le site.",Stress Hydrique; Fortes pluies; Inondation pluie,Technique,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
Limiter le ruissellement à l’échelle,"Mise à jour d’une procédure interne avec responsables nommés, seuils d’alerte et test sur un site pilote. Les décisions sont plus rapides lorsque les fortes chaleurs menacent la continuité des activités.",Fortes pluies; Inondation pluie; Stress Hydrique,Fondées sur la nature,CAPEX majoritaire > long terme,250 000 €,10,Long terme,6
